Salinity,Generation,Chemical,Gene,ddCT
10,0,Cyfluthrin,igf2,2.963666667
10,0,Cyfluthrin,rps6,0.948666667
10,0,Cyfluthrin,17bHSD,-0.051777778
10,0,Cyfluthrin,arx,-1.181777778
10,0,Cyfluthrin,atp1,-1.236666667
10,0,Cyfluthrin,atp2,-0.906777778
10,0,Cyfluthrin,cyp1a1,1.125777778
10,0,Cyfluthrin,dnmt3,-1.582333333
10,0,Cyfluthrin,esr,-3.627555556
10,0,Cyfluthrin,igf2,-0.788333333
10,0,Cyfluthrin,rps6,-1.098333333
10,0,Cyfluthrin,17bHSD,0.813722222
10,0,Cyfluthrin,arx,-1.157277778
10,0,Cyfluthrin,atp1,-0.450166667
10,0,Cyfluthrin,atp2,-0.238277778
10,0,Cyfluthrin,cyp1a1,1.809277778
10,0,Cyfluthrin,dnmt3,-1.119833333
10,0,Cyfluthrin,esr,-4.116055556
10,0,Cyfluthrin,igf2,-0.696833333
10,0,Cyfluthrin,rps6,-0.594833333
10,0,Cyfluthrin,17bHSD,0.257722222
10,0,Cyfluthrin,arx,1.098222222
10,0,Cyfluthrin,atp1,0.918333333
10,0,Cyfluthrin,atp2,1.183222222
10,0,Cyfluthrin,cyp1a1,3.254777778
10,0,Cyfluthrin,dnmt3,0.311666667
10,0,Cyfluthrin,esr,-1.314555556
10,0,Cyfluthrin,igf2,1.012666667
10,0,Cyfluthrin,rps6,1.018666667
10,0,Cyfluthrin,17bHSD,-0.114777778
10,0,Cyfluthrin,arx,-0.889777778
10,0,Cyfluthrin,atp1,
10,0,Cyfluthrin,atp2,-1.262777778
10,0,Cyfluthrin,cyp1a1,-2.074222222
10,0,Cyfluthrin,dnmt3,-1.013333333
10,0,Cyfluthrin,esr,2.015444444
10,0,Cyfluthrin,igf2,-1.263333333
10,0,Cyfluthrin,rps6,-1.546333333
10,0,Cyfluthrin,17bHSD,-0.075277778
10,0,Cyfluthrin,arx,-0.621277778
10,0,Cyfluthrin,atp1,-1.512166667
10,0,Cyfluthrin,atp2,-1.224277778
10,0,Cyfluthrin,cyp1a1,-2.017722222
10,0,Cyfluthrin,dnmt3,-0.729833333
10,0,Cyfluthrin,esr,1.961944444
10,0,Cyfluthrin,igf2,-1.195833333
10,0,Cyfluthrin,rps6,-1.155833333
10,0,Cyfluthrin,17bHSD,0.372222222
10,0,Cyfluthrin,arx,-0.922777778
10,0,Cyfluthrin,atp1,-1.136666667
10,0,Cyfluthrin,atp2,-1.024777778
10,0,Cyfluthrin,cyp1a1,-1.995222222
10,0,Cyfluthrin,dnmt3,-0.451333333
10,0,Cyfluthrin,esr,2.172444444
